Name,Manufacturer,Manufacturer Number,Supplier,Supplier Number,Quantity,Price Total,Comments
Pi Camera V2.1 noIR,Raspberry Pi,-,Kiwi Electronics,KW-1703,1,28.95,I can see in the dark
Motic 10X Objective  RedLine200,Motic,12220181,astroshop.be,567HJ,1,39,Finite conjugate
